entityid,cluster
BU_BARON_AGU_0001,2
BU_FRERT_AGU_0001,0
BU_FRIAS_AGU_0001,0
BU_NAVBU_AGU_0001,1
BU_SANOB_AGU_0001,0
BU_SAPGA_AGU_0001,0
