entityid,cluster
SO_ALMAR_AGU_0001,0
SO_BOROB_AGU_0001,2
SO_CALTO_AGU_0001,1
SO_CASAR_AGU_0001,1
SO_CASRO_AGU_0001,1
SO_CIDON_AGU_0001,1
SO_COVAL_AGU_0001,2
SO_ESPEJ_AGU_0001,1
SO_MOLDU_AGU_0001,1
SO_MONTI_AGU_0001,0
SO_MURFU_AGU_0001,0
SO_NOVIE_AGU_0001,0
SO_SERNA_AGU_0001,2
SO_VALTE_AGU_0001,0
